Acav,S,mu
(-0.002214077241366454-0.0010136086673794961j),-21.404367774383218,108.0
(-0.0027086744483079267-0.002169906386500773j),-10.638391126387582,109.0
(-0.002681328493027528-0.0011155378614316502j),-23.328624475364787,110.0
(-0.0025907680810407013+0.001190626968889946j),-39.78372919638874,111.0
(-0.002516545265784297+0.00255572628632902j),-53.61476644357111,112.0
(-0.0021530775896310486+0.0016861904062172902j),-44.368964392905504,113.0
(-0.0014604033397239181-0.0005479467780226568j),-44.22757780478407,114.0
(-0.0010594552455570297-0.0019676054015373584j),-46.747528354368505,115.0
(-0.0016953619484772063-0.0013451179677272031j),-52.215303909894516,116.0
(-0.0031057724510227757+0.0005276694708254575j),-62.155839535396154,117.0
(-0.003970749204188977+0.0018383584355299767j),-70.91640090008018,118.0
(-0.0032117483913791695+0.0015198360187048741j),-63.44668962858016,119.0
(-0.0012771910845690321+0.0001922434815484174j),-60.08057179968192,120.0
(1.3966195348150452e-05-0.0007801430435339797j),-59.76282070355051,121.0
(-0.0007294837291468437-0.0007792213463643099j),-62.23677003058148,122.0
(-0.0029539756835636256-0.00018298698773273j),-67.32576644892664,123.0
(-0.004578027148347574+0.00032896409279595414j),-77.14330139920673,124.0
(-0.003992770190463611+0.0005697398470349294j),-81.14121826689328,125.0
(-0.0017305218524931892+0.0007819382099496778j),-73.81379812611905,126.0
(6.430377336553159e-05+0.000864218746395627j),-70.62960501353419,127.0
(-0.00026293010480125923+0.00040675577459339595j),-70.70106255965902,128.0
(-0.0023336881269993273-0.0005614297950320159j),-73.4839368449482,129.0
(-0.00411442694243491-0.0012432407370800232j),-79.17147670237439,130.0
(-0.004016245519377492-0.0007105516678134817j),-85.0,131.0
(-0.0023891568492072648+0.0008741453524940256j),-85.0,132.0
(-0.0008837097265832792+0.0021065715070739976j),-82.01080777038607,133.0
(-0.0007460279015590395+0.0016604470443292892j),-79.78402103836356,134.0
(-0.0017380262231440134-0.00032138901266160223j),-80.31056688954129,135.0
(-0.0027429681343140184-0.002060121142525114j),-83.3923809091364,136.0
(-0.003079470485284332-0.0017814736209429928j),-85.0,137.0
(-0.0028420078543374624+0.0003837993693510135j),-85.0,138.0
(-0.002443480133849216+0.0024343862723351078j),-85.0,139.0
(-0.0020357987215336238+0.002404668889228621j),-85.0,140.0
(-0.001518475922663008+0.0003181186765690426j),-85.0,141.0
(-0.0011807846715837045-0.0018199154366107745j),-85.0,142.0
(-0.0015933601866906864-0.0020445522638299803j),-85.0,143.0
(-0.002771091770123716-0.0002727134395616859j),-85.0,144.0
(-0.0038222584658138556+0.0017218979346565228j),-85.0,145.0
(-0.0035562662065252663+0.0021423279854315253j),-85.0,146.0
(-0.0018694276302748045+0.0008774748858704786j),-85.0,147.0
(-0.0002184280280648426-0.0006946817309182236j),-85.0,148.0
(-0.00025344281599260534-0.0012171381881331456j),-85.0,149.0
(-0.0021678799646672373-0.0005877829167440804j),-85.0,150.0
(-0.004308294797772358+0.0003052929213643609j),-85.0,151.0
(-0.004605372235141036+0.0008257301683083267j),-85.0,152.0
(-0.0026605530947716232+0.0009587943417145303j),-85.0,153.0
(-0.0002366838589293782+0.0008218813559825904j),-85.0,154.0
(0.0003590587584249459+0.0003742015284603572j),-85.0,155.0
(-0.0014410757946565727-0.0004084100481984975j),-85.0,156.0
(-0.0038391266074821453-0.0010638147123850435j),-85.0,157.0
(-0.00459671462830149-0.0008405951274057832j),-85.0,158.0
(-0.0032105987410387666+0.00041514875137612284j),-85.0,159.0
(-0.0011590469275774313+0.0018319805158527572j),-85.0,160.0
(-0.0002967340766755452+0.0019964775937472913j),-85.0,161.0
(-0.0011079604273565372+0.0003856101676705581j),-85.0,162.0
(-0.0025777820841853204-0.0016844074383638846j),-85.0,163.0
(-0.0034157144114709184-0.002210292434611541j),-85.0,164.0
(-0.003211441602594513-0.0005009283790689683j),-85.0,165.0
(-0.002510372757461837+0.0019914981325688088j),-85.0,166.0
(-0.0018842431570555082+0.0028877468753347292j),-85.0,167.0
(-0.0014596989452752354+0.0012749551313819213j),-85.0,168.0
(-0.0012900949332677117-0.001349953208655088j),-85.0,169.0
(-0.001595782246095192-0.0025327930101380794j),-85.0,170.0
(-0.0025185622626055252-0.0011994229300418126j),-85.0,171.0
(-0.0035583865950749066+0.0012748859679499293j),-85.0,172.0
(-0.0036820596178635317+0.0025506482049109315j),-85.0,173.0
(-0.002437397694795694+0.0016562792645232287j),-85.0,174.0
(-0.0006618021547733463-0.0003241418018914245j),-85.0,175.0
(4.412602922853628e-06-0.0015352037880898607j),-85.0,176.0
(-0.0013767094879745048-0.0011766855274670687j),-85.0,177.0
(-0.0037636910292755555+6.486063753475159e-05j),-85.0,178.0
(-0.004913175291530714+0.0010626798588532023j),-85.0,179.0
(-0.003578438130939796+0.001249994664836545j),-85.0,180.0
(-0.0008657825932597821+0.0008433033105492173j),-85.0,181.0
(0.0006550703290321069+0.0002608270683761887j),-85.0,182.0
(-0.00047923337581321933-0.0003644265874641366j),-85.0,183.0
(-0.0031671023329500137-0.0008735435542912144j),-85.0,184.0
(-0.004898429744071398-0.00083398359721847j),-85.0,185.0
(-0.0041270477193444555+8.498426571057745e-05j),-85.0,186.0
(-0.0017420649643031967+0.001451675703687749j),-85.0,187.0
(-4.4048259891385785e-05+0.0020386604895507848j),-85.0,188.0
(-0.0003839462205583057+0.0009954374361171182j),-85.0,189.0
(-0.0021340750064694236-0.001057018518536285j),-85.0,190.0
(-0.003600603932018787-0.0022953203967894997j),-85.0,191.0
(-0.0037077321489649563-0.0013028433525251548j),-85.0,192.0
(-0.0027743014771161143+0.0012534568999229639j),-85.0,193.0
(-0.0017472665049630299+0.003012401139543445j),-85.0,194.0
(-0.0012406757796306408+0.0022076983838656954j),-85.0,195.0
(-0.0012956092329172953-0.0005369080544126454j),-85.0,196.0
(-0.001720778135785768-0.0026243643144986317j),-85.0,197.0
(-0.0024413541788932953-0.0020719936017894944j),-85.0,198.0
(-0.0032636781691118264+0.0004863356512181205j),-85.0,199.0
(-0.0035981977188515005+0.0026316012322408423j),-85.0,200.0
(-0.00283548780249218+0.002489829634106031j),-85.0,201.0
(-0.0012060695711843+0.000396672409878832j),-85.0,202.0
(-8.619799143935257e-05-0.0015844393918486722j),-85.0,203.0
(-0.0007952147335422235-0.0018157115472287406j),-85.0,204.0
(-0.0030277285637671054-0.0004282128326647759j),-85.0,205.0
(-0.004828921045826665+0.0011531406971145332j),-85.0,206.0
(-0.004328774300936565+0.0016679949591038672j),-85.0,207.0
(-0.0017743056120785564+0.0010878390711102249j),-85.0,208.0
(0.0004908086757269965+0.00017377252678268192j),-85.0,209.0
(0.0003075143815542758-0.0005045677558683396j),-85.0,210.0
(-0.002231918578214931-0.0008147968374957161j),-85.0,211.0
(-0.004769388993793118-0.0007118169768236517j),-85.0,212.0
(-0.004917976158967393-2.851572706097758e-05j),-85.0,213.0
(-0.002666046577481753+0.0010850329867626892j),-85.0,214.0
(-0.00021361619563082466+0.0018292186449611323j),-85.0,215.0
(0.00027276416402103774+0.0013168554489823348j),-85.0,216.0
(-0.0013961435184777207-0.00043784842400789174j),-85.0,217.0
(-0.0034850017560503787-0.0020494749079561923j),-85.0,218.0
(-0.00422478270278218-0.00181866956526906j),-85.0,219.0
(-0.003314293622127155+0.00038257870331935133j),-85.0,220.0
(-0.00179743039290435+0.002662884198300601j),-85.0,221.0
(-0.0009316002684837244+0.0027704420551788993j),-85.0,222.0
(-0.0010728300651926825+0.00041293013427275827j),-85.0,223.0
(-0.0017611572197233252-0.002242869837372046j),-85.0,224.0
(-0.002531423573229652-0.002705683446273453j),-85.0,225.0
(-0.003160572483092755-0.0005473539983590147j),-85.0,226.0
(-0.0034170520511734763+0.0022169642118190663j),-85.0,227.0
(-0.0029090989079734383+0.00304133021809082j),-85.0,228.0
(-0.0015919652278547582+0.0013205340506590372j),-85.0,229.0
(-0.0003788505648655019-0.001217001663828222j),-85.0,230.0
(-0.000541729438319675-0.0023014415629092864j),-85.0,231.0
(-0.0023316382356691314-0.0011746920772194517j),-85.0,232.0
(-0.004359384901641007+0.0008658249159460474j),-85.0,233.0
(-0.004642002002989511+0.0020076880224380823j),-85.0,234.0
(-0.0026381266116011354+0.0016116304990441695j),-85.0,235.0
(-3.508694548639646e-05+0.0003432044614981049j),-85.0,236.0
(0.0007036118617109648-0.0007034689366827203j),-85.0,237.0
(-0.0012603034700553264-0.0009906468434653106j),-85.0,238.0
(-0.004138466367931108-0.000655437814567651j),-85.0,239.0
(-0.00525649135086872+6.812745887644618e-05j),-85.0,240.0
(-0.003647816648391168+0.000974168973881622j),-85.0,241.0
(-0.0008493038436959509+0.0016411219110137913j),-85.0,242.0
(0.0005862946394119485+0.0014034506963891819j),-85.0,243.0
(-0.0005085190205931757-4.583325841179957e-06j),-85.0,244.0
(-0.0029480278843087154-0.0016245211777428732j),-85.0,245.0
(-0.00451091848819083-0.0018800244386832049j),-85.0,246.0
(-0.004007201069720393-0.00022597908671637975j),-85.0,247.0
(-0.0022198451958065574+0.0020830064150119615j),-85.0,248.0
(-0.0008134980255350669+0.0029032206586078147j),-85.0,249.0
(-0.0006765589397341428+0.0012601141852029954j),-85.0,250.0
(-0.0015599850290194382-0.001491834872619945j),-85.0,251.0
(-0.002656903323765305-0.002827232667577027j),-85.0,252.0
(-0.003348933517706921-0.0014306379031099135j),-85.0,253.0
(-0.003454290944550456+0.0014402415179606042j),-85.0,254.0
(-0.0028876897786286886+0.003135207064752035j),-85.0,255.0
(-0.0017553222187818855+0.002172504494438807j),-85.0,256.0
(-0.0006909616401720201-0.00046770507638750446j),-85.0,257.0
(-0.0006131274681350875-0.002356840345356071j),-85.0,258.0
(-0.0019681378649312677-0.0019377159035681147j),-85.0,259.0
(-0.003895741453615937+0.00016382790872403112j),-85.0,260.0
(-0.004628057231831502+0.002011416936957518j),-85.0,261.0
(-0.0032393511486868906+0.002153666132415503j),-85.0,262.0
(-0.0007531475840509067+0.0007816781232333933j),-85.0,263.0
(0.0005879881013869272-0.0007407487766054602j),-85.0,264.0
(-0.0005853470304054364-0.0013527374126124701j),-85.0,265.0
(-0.003305867994982205-0.0009338368584087413j),-85.0,266.0
(-0.005135394451296912+3.653073582811696e-05j),-85.0,267.0
(-0.004397523100694232+0.0010115631162252107j),-85.0,268.0
(-0.0017324270887067558+0.001581508421473965j),-85.0,269.0
(0.00043241263105263107+0.0013094649125655355j),-85.0,270.0
(0.00018964462066634955+8.487115232824791e-05j),-85.0,271.0
(-0.0021082421635517288-0.0013486290608037837j),-85.0,272.0
(-0.004309280525487583-0.0017966497115289408j),-85.0,273.0
(-0.004545931516195957-0.0006043705270845812j),-85.0,274.0
(-0.002888799712645467+0.0014908006030181608j),-85.0,275.0
(-0.0009446376677253533+0.0026682924687345295j),-85.0,276.0
(-0.00023800545682136303+0.0017068824354733454j),-85.0,277.0
(-0.001046717623445656-0.0007466836680975954j),-85.0,278.0
(-0.002480000514361953-0.002560569585599372j),-85.0,279.0
(-0.0035061923493717308-0.0019810442610687005j),-85.0,280.0
(-0.0036225394571168957+0.0005652840502437271j),-85.0,281.0
(-0.0028721854833750646+0.0028023901239009608j),-85.0,282.0
(-0.0016967081471576779+0.0027347293569967325j),-85.0,283.0
(-0.0007195326789080823+0.00045088345320371806j),-85.0,284.0
(-0.0006357128004926856-0.001958195904884247j),-85.0,285.0
(-0.0017910954750386722-0.0023853905225362914j),-85.0,286.0
(-0.003504013076404393-0.0005974046060464221j),-85.0,287.0
(-0.004382853588074307+0.0017121854330941714j),-85.0,288.0
(-0.0034931581648268988+0.002564382227052922j),-85.0,289.0
(-0.001345123166453027+0.001483244538444363j),-85.0,290.0
(0.00024864142064186-0.0003707630794689296j),-85.0,291.0
(-0.00022810189695739424-0.001512941533465665j),-85.0,292.0
(-0.0025315750305562475-0.001287926932355382j),-85.0,293.0
(-0.0047339063462530145-0.00010032417953320259j),-85.0,294.0
(-0.004807515843138525+0.001173469155697444j),-85.0,295.0
(-0.002611802366644447+0.0017904737423098545j),-85.0,296.0
(-0.00011981010991897435+0.0013917065326975884j),-85.0,297.0
(0.0004642212262356597+0.00017894198066081675j),-85.0,298.0
(-0.001334504344964928-0.0011436631152859772j),-85.0,299.0
