Acav,S,mu
(-0.0005300796325465088+0.007045403571718704j),-85.0,-202.0
(-0.0008444393882610417+0.0040939438894486875j),-85.0,-201.0
(-0.00041530453786628316+0.00034889496861081513j),-85.0,-200.0
(1.2187508402622964e-05-0.0010186745916649898j),-85.0,-199.0
(-0.0007232292435968576+0.000728178229088311j),-85.0,-198.0
(-0.002452157301116765+0.0032804130951971182j),-85.0,-197.0
(-0.00352920990744194+0.0038552879778829j),-85.0,-196.0
(-0.0025450473624720553+0.0019484367880516253j),-85.0,-195.0
(-0.00017699541708076312-0.00044526333255646213j),-85.0,-194.0
(0.0010475481572963317-0.0011902223865466574j),-85.0,-193.0
(-0.0005175975878354701-0.0001256185484635594j),-85.0,-192.0
(-0.003606630008220875+0.0011757929772579737j),-85.0,-191.0
(-0.005198209992229502+0.0013102136437870638j),-85.0,-190.0
(-0.0036040549407758914+0.0005491204012342092j),-85.0,-189.0
(-0.0003609878338731046+0.000118785223466615j),-85.0,-188.0
(0.001272136746446832+0.0003722431403591112j),-85.0,-187.0
(-0.0003438191928996424+0.00048529903978143885j),-85.0,-186.0
(-0.003601091019194813-0.00022860132736767877j),-85.0,-185.0
(-0.005279495712997544-0.0011144728057217613j),-85.0,-184.0
(-0.0038606479403247183-0.0008020201534582402j),-85.0,-183.0
(-0.001000500230594453+0.000835763335269992j),-85.0,-182.0
(0.00040030574235935205+0.002194263140069977j),-85.0,-181.0
(-0.0007767499763390923+0.001573139797896557j),-85.0,-180.0
(-0.0029559840915450337-0.0008398285081134396j),-85.0,-179.0
(-0.003896207854403473-0.0027019686331167174j),-85.0,-178.0
(-0.0030791506121771194-0.0018693608499916734j),-85.0,-177.0
(-0.001791739355689406+0.0011045750965016034j),-85.0,-176.0
(-0.0014050888937550687+0.003320701286785393j),-85.0,-175.0
(-0.0018899210532908294+0.0024357321768983613j),-85.0,-174.0
(-0.002188029710752382-0.0007400943405674516j),-85.0,-173.0
(-0.0018556168058297625-0.0029905519177809417j),-85.0,-172.0
(-0.0016263158719123823-0.002101044068808759j),-85.0,-171.0
(-0.0023024132285769977+0.0009621029848025787j),-85.0,-170.0
(-0.003408439743550672+0.0031348384363755455j),-85.0,-169.0
(-0.0034285133710099617+0.002415305235986587j),-85.0,-168.0
(-0.0018075793072216432-0.0001830561227364282j),-85.0,-167.0
(-2.7957907429134187e-05-0.0019578768797579352j),-85.0,-166.0
(-0.00015505370555195008-0.001356039991272563j),-85.0,-165.0
(-0.002479358448669441+0.0006335470425276618j),-85.0,-164.0
(-0.004800677806565822+0.0018283527470228562j),-85.0,-163.0
(-0.004609023353221442+0.0013511655418229883j),-85.0,-162.0
(-0.0018913804825390975+0.00024197904612942772j),-76.45964363757282,-161.0
(0.0007389284213428239-0.00013374550317896508j),-85.0,-160.0
(0.0005928159101675384+0.00027968354114145177j),-85.0,-159.0
(-0.0022805594141362233+0.00045360265499647524j),-85.0,-158.0
(-0.004990619842436738-3.095188828304844e-05j),-85.0,-157.0
(-0.0048592793722925225-0.0003450634816913598j),-85.0,-156.0
(-0.0021497499661598442+0.0003927132371361326j),-85.0,-155.0
(0.00034187198168590335+0.0017586003522631441j),-85.0,-154.0
(0.00023343514997072469+0.0021403476749427383j),-85.0,-153.0
(-0.0020225915940315126+0.0006649631904637835j),-85.0,-152.0
(-0.003942920594538539-0.001382906692315584j),-85.0,-151.0
(-0.003788004557978995-0.0017310278791132163j),-82.40658810634645,-150.0
(-0.0021325673331672053+0.00041336780348897825j),-85.0,-149.0
(-0.0009027509790178384+0.003168862385436508j),-85.0,-148.0
(-0.001079007062015308+0.0037294802928094705j),-85.0,-147.0
(-0.0018622746870736746+0.001472611336045808j),-85.0,-146.0
(-0.0020634097595806688-0.0012844663776207283j),-85.0,-145.0
(-0.0016316500418066544-0.0015858943202307072j),-85.0,-144.0
(-0.0015172852910273417+0.0011420212602992683j),-85.0,-143.0
(-0.0021148864035191533+0.0043827435376111445j),-85.0,-142.0
(-0.0024940722380119673+0.0052503617688874765j),-85.0,-141.0
(-0.0016033596316752617+0.0034895626770659748j),-85.0,-140.0
(0.00020160749582607434+0.0015296976827264904j),-85.0,-139.0
(0.0011806694018823675+0.0018872436545085479j),-85.0,-138.0
(0.00011722603643535497+0.0046091997953741385j),-85.0,-137.0
(-0.0019148089795810422+0.007593863746928593j),-85.0,-136.0
(-0.0024231202739396726+0.009129479577199102j),-70.9672992216025,-135.0
(-0.00015490700216335817+0.009490318355091107j),-72.54175514684172,-134.0
(0.0033365288589483426+0.010301687086644497j),-85.0,-133.0
(0.0050808185259897725+0.01258602102387765j),-85.0,-132.0
(0.003888763321268615+0.015770627940563733j),-85.0,-131.0
(0.0016220356858990842+0.0188033301460466j),-85.0,-130.0
(0.001227064996261598+0.021569323087838908j),-85.0,-129.0
(0.00381088126085086+0.02479532654048112j),-85.0,-128.0
(0.007404937979161666+0.028588417907583017j),-85.0,-127.0
(0.00878061287214883+0.031442197908843755j),-85.0,-126.0
(0.0065423523959215165+0.03125809968238096j),-85.0,-125.0
(0.002431103558803559+0.027294529730954944j),-85.0,-124.0
(-0.00014276425054976806+0.02122572673649525j),-85.0,-123.0
(0.0006039815823627305+0.01633453524735345j),-85.0,-122.0
(0.0029530442926073604+0.014722666957795193j),-85.0,-121.0
(0.0037725820235939766+0.01512688564722109j),-85.0,-120.0
(0.0019675696200618822+0.014190016899457729j),-85.0,-119.0
(-0.0005826389245419303+0.010151211466076953j),-85.0,-118.0
(-0.0012810598118836738+0.005030320734275524j),-85.0,-117.0
(0.000130314155582895+0.0025709677198735474j),-85.0,-116.0
(0.001358759260565675+0.003958150052837301j),-85.0,-115.0
(0.0004733186917390525+0.006414841313672464j),-85.0,-114.0
(-0.0017441124065760967+0.006248898907737582j),-85.0,-113.0
(-0.0026989773432393896+0.002865624837056473j),-85.0,-112.0
(-0.0012344124742786325-0.0006524369809873513j),-85.0,-111.0
(0.0007268636625809535-0.0010768180553681712j),-85.0,-110.0
(0.0004755662192491537+0.0014038209015948672j),-85.0,-109.0
(-0.002159085973400421+0.003546033385136092j),-82.68205177774449,-108.0
(-0.004410975904715483+0.002782232281589372j),-81.15542218529487,-107.0
(-0.003645051930320071+5.941633753557229e-05j),-82.3629542491625,-106.0
(-0.0005796441315876556-0.0015479554956054416j),-85.0,-105.0
(0.001301234068606411-0.0005269629214456383j),-85.0,-104.0
(-0.00031763886187061575+0.0015343077336751648j),-82.67868664342858,-103.0
(-0.003860605451797116+0.0019781165492543653j),-74.57991788681261,-102.0
(-0.005501949898513291+0.00030452815513100926j),-70.63448914530514,-101.0
(-0.003469862344206909-0.0012865734442164393j),-69.65749355450633,-100.0
(-4.241439340332995e-05-0.0007465073176703698j),-71.82808189532341,-99.0
(0.0010222424604036378+0.001291769604464694j),-80.57275025116266,-98.0
(-0.0013513442203090206+0.002223932375603192j),-79.91550341415936,-97.0
(-0.004445869604105966+0.0006329673137532338j),-65.74998304035455,-96.0
(-0.004931979168491283-0.0017352494183657467j),-58.496314412791925,-95.0
(-0.002532479700989021-0.001955436180472928j),-54.457642615211014,-94.0
(-8.502024615287403e-05+0.0004999592806557144j),-52.96905284501529,-93.0
(-0.00025686924572120896+0.002967381455230157j),-54.92298211240912,-92.0
(-0.0025563479000537503+0.0025206429495831448j),-64.01130902554428,-91.0
(-0.004122912791035114-0.000556252724020858j),-47.07374342719328,-90.0
(-0.0032572176876973736-0.0029080655613378864j),-31.965776155613053,-89.0
(-0.0012471000327914515-0.001869333726027875j),-7.118549108881313,-88.0
(-0.0006479821745882983+0.0015224860618429988j),-29.542124790025927,-87.0
(-0.002154354679133305+0.0035745667847513923j),-38.28321698931116,-86.0
(-0.0037480343686210724+0.0020503039741597874j),-48.78516903239081,-85.0
(-0.00330398052373113-0.001310703376699714j),-74.31191095102834,-84.0
(-0.0012399629757415672-0.002842279744885523j),-55.31600098856469,-83.0
(-8.24563920423149e-05-0.001029335528206274j),-49.15775256686016,-82.0
(-0.0014923272102274115+0.0019546794386038576j),-47.65314788601283,-81.0
(-0.004007509281868096+0.0028376096440449884j),-48.93230690030232,-80.0
(-0.004594906433685338+0.0009042784830882376j),-53.30245308472313,-79.0
(-0.0023293456859419513-0.0014815056412531993j),-63.64304848648669,-78.0
(0.00038364209904857204-0.001695294118924572j),-75.15341545381148,-77.0
(0.0004174718639883481+0.000238261452059411j),-58.11666036372231,-76.0
(-0.0024354413796729034+0.0018319547688821069j),-52.67384064406986,-75.0
(-0.005071173163449756+0.0012415127399279093j),-51.139228321517365,-74.0
