lbd,S,freq,mu
1.51776e-06,-80.090372,197522966740459.62,-85.03442326443714
1.51774e-06,-83.1504205,197525569596900.66,-85.03181728081576
1.51772e-06,-79.6882926,197528172521940.8,-85.02921122851284
1.5177e-06,-78.3329285,197530775515582.78,-85.02660510752568
1.51768e-06,-80.8126581,197533378577829.3,-85.02399891785154
1.51766e-06,-81.013177,197535981708683.1,-85.02139265948773
1.51764e-06,-79.7493442,197538584908146.88,-85.01878633243147
1.51762e-06,-85.0,197541188176223.28,-85.01617993668017
1.5176e-06,-79.170409,197543791512915.12,-85.01357347223099
1.51758e-06,-71.9195687,197546394918225.06,-85.01096693908127
1.51756e-06,-63.2134376,197548998392155.8,-85.0083603372283
1.51754e-06,-54.5645704,197551601934710.12,-85.00575366666932
1.51752e-06,-52.4293887,197554205545890.66,-85.00314692740166
1.5175e-06,-54.0751613,197556809225700.16,-85.0005401194226
1.51748e-06,-60.3492126,197559412974141.34,-84.99793324272937
1.51746e-06,-68.8553278,197562016791216.9,-84.99532629731931
1.51744e-06,-74.3876687,197564620676929.56,-84.9927192831897
1.51742e-06,-80.5783827,197567224631282.03,-84.9901122003378
1.5174e-06,-85.0,197569828654277.03,-84.98750504876092
1.51738e-06,-83.2636303,197572432745917.3,-84.98489782845627
1.51736e-06,-77.7119409,197575036906205.5,-84.98229053942124
1.51734e-06,-83.6196809,197577641135144.4,-84.97968318165302
1.51732e-06,-77.6995137,197580245432736.66,-84.97707575514896
1.5173e-06,-82.0532794,197582849798985.03,-84.97446825990629
1.51728e-06,-78.725719,197585454233892.25,-84.97186069592229
1.51726e-06,-80.5819058,197588058737460.94,-84.96925306319433
1.51724e-06,-79.8064151,197590663309693.9,-84.9666453617196
1.51722e-06,-77.7953158,197593267950593.84,-84.96403759149538
1.5172e-06,-83.2560929,197595872660163.44,-84.96142975251902
1.51718e-06,-85.0,197598477438405.47,-84.95882184478772
1.51716e-06,-84.7423718,197601082285322.56,-84.95621386829883
1.51714e-06,-85.0,197603687200917.5,-84.9536058230496
1.51712e-06,-76.8879423,197606292185193.0,-84.95099770903728
1.5171e-06,-80.0880513,197608897238151.72,-84.94838952625923
1.51708e-06,-82.8977969,197611502359796.47,-84.94578127471263
1.51706e-06,-85.0,197614107550129.84,-84.94317295439487
1.51704e-06,-80.558361,197616712809154.66,-84.94056456530315
1.51702e-06,-80.7490119,197619318136873.62,-84.93795610743473
1.517e-06,-83.5684454,197621923533289.38,-84.93534758078701
1.51698e-06,-79.3197826,197624528998404.75,-84.93273898535712
1.51696e-06,-80.0290334,197627134532222.34,-84.93013032114247
1.51694e-06,-84.7734145,197629740134744.94,-84.92752158814027
1.51692e-06,-78.8921738,197632345805975.28,-84.92491278634778
1.5169e-06,-80.7777235,197634951545916.0,-84.92230391576236
1.51688e-06,-78.5165796,197637557354569.9,-84.9196949763812
1.51686e-06,-82.4181734,197640163231939.66,-84.91708596820162
1.51684e-06,-77.0207989,197642769178028.0,-84.9144768912209
1.51682e-06,-79.420437,197645375192837.66,-84.91186774543631
1.5168e-06,-78.4246094,197647981276371.3,-84.90925853084514
1.51678e-06,-81.764093,197650587428631.72,-84.90664924744465
1.51676e-06,-81.204454,197653193649621.56,-84.90403989523216
1.51674e-06,-79.6163533,197655799939343.6,-84.90143047420489
1.51672e-06,-75.9051931,197658406297800.53,-84.89882098436014
1.5167e-06,-78.269935,197661012724995.06,-84.89621142569521
1.51668e-06,-79.8274154,197663619220929.9,-84.89360179820738
1.51666e-06,-78.8088007,197666225785607.84,-84.89099210189387
1.51664e-06,-78.0106217,197668832419031.53,-84.888382336752
1.51662e-06,-80.9286132,197671439121203.75,-84.88577250277902
1.5166e-06,-79.8798901,197674045892127.12,-84.88316259997228
1.51658e-06,-85.0,197676652731804.44,-84.880552628329
1.51656e-06,-80.9027611,197679259640238.44,-84.87794258784642
1.51654e-06,-80.5226394,197681866617431.78,-84.87533247852188
1.51652e-06,-80.2619051,197684473663387.25,-84.8727223003526
1.5165e-06,-77.6123459,197687080778107.47,-84.87011205333597
1.51648e-06,-78.3331894,197689687961595.25,-84.86750173746915
1.51646e-06,-85.0,197692295213853.3,-84.86489135274942
1.51644e-06,-81.5028567,197694902534884.34,-84.86228089917411
1.51642e-06,-80.6598758,197697509924691.06,-84.85967037674047
1.5164e-06,-85.0,197700117383276.2,-84.85705978544578
1.51638e-06,-80.2769526,197702724910642.44,-84.85444912528735
1.51636e-06,-82.6633842,197705332506792.6,-84.85183839626235
1.51634e-06,-85.0,197707940171729.28,-84.8492275983682
1.51632e-06,-81.6670928,197710547905455.3,-84.84661673160205
1.5163e-06,-81.8886769,197713155707973.34,-84.84400579596125
1.51628e-06,-79.5439064,197715763579286.12,-84.84139479144305
1.51626e-06,-79.4259982,197718371519396.4,-84.83878371804468
1.51624e-06,-78.0154477,197720979528306.88,-84.83617257576348
1.51622e-06,-79.5273677,197723587606020.25,-84.8335613645967
1.5162e-06,-78.9466594,197726195752539.25,-84.83095008454164
1.51618e-06,-79.0527935,197728803967866.6,-84.82833873559557
1.51616e-06,-84.9837854,197731412252005.06,-84.82572731775568
1.51614e-06,-78.3881023,197734020604957.3,-84.82311583101935
1.51612e-06,-84.1396327,197736629026726.1,-84.8205042753838
1.5161e-06,-79.9408971,197739237517314.16,-84.8178926508463
1.51608e-06,-84.2566118,197741846076724.2,-84.81528095740414
1.51606e-06,-84.3398892,197744454704958.9,-84.8126691950546
1.51604e-06,-79.988794,197747063402021.06,-84.81005736379493
1.51602e-06,-80.1422056,197749672167913.34,-84.80744546362244
1.516e-06,-84.6897161,197752281002638.53,-84.80483349453435
1.51598e-06,-77.26107,197754889906199.28,-84.80222145652799
1.51596e-06,-78.5744758,197757498878598.38,-84.79960934960059
1.51594e-06,-81.8690737,197760107919838.5,-84.79699717374943
1.51592e-06,-84.6641413,197762717029922.4,-84.7943849289718
1.5159e-06,-78.905895,197765326208852.84,-84.79177261526492
1.51588e-06,-85.0,197767935456632.44,-84.78916023262614
1.51586e-06,-77.6324021,197770544773264.03,-84.78654778105268
1.51584e-06,-82.0110941,197773154158750.25,-84.78393526054184
1.51582e-06,-83.2709403,197775763613093.9,-84.78132267109083
1.5158e-06,-76.6839112,197778373136297.66,-84.77871001269702
1.51578e-06,-78.9793213,197780982728364.28,-84.77609728535758
1.51576e-06,-82.5314454,197783592389296.47,-84.77348448906986
1.51574e-06,-83.2586534,197786202119096.94,-84.7708716238311
1.51572e-06,-79.0791271,197788811917768.44,-84.76825868963857
1.5157e-06,-80.0179707,197791421785313.72,-84.7656456864895
1.51568e-06,-81.6274218,197794031721735.47,-84.76303261438123
1.51566e-06,-80.8500924,197796641727036.4,-84.760419473311
1.51564e-06,-80.8990496,197799251801219.28,-84.75780626327608
1.51562e-06,-84.3883186,197801861944286.8,-84.75519298427375
1.5156e-06,-85.0,197804472156241.75,-84.75257963630125
1.51558e-06,-85.0,197807082437086.78,-84.74996621935588
1.51556e-06,-77.886285,197809692786824.66,-84.74735273343491
1.51554e-06,-84.1583178,197812303205458.12,-84.74473917853555
1.51552e-06,-85.0,197814913692989.84,-84.74212555465517
1.5155e-06,-82.5784283,197817524249422.66,-84.73951186179093
1.51548e-06,-79.0398419,197820134874759.16,-84.7368980999402
1.51546e-06,-79.4210759,197822745569002.12,-84.73428426910023
1.51544e-06,-85.0,197825356332154.38,-84.73167036926819
1.51542e-06,-85.0,197827967164218.5,-84.72905640044146
1.5154e-06,-85.0,197830578065197.3,-84.72644236261726
1.51538e-06,-83.110456,197833189035093.5,-84.7238282557929
1.51536e-06,-81.9160451,197835800073909.8,-84.72121407996558
1.51534e-06,-83.7626855,197838411181649.0,-84.7185998351326
1.51532e-06,-78.8713116,197841022358313.75,-84.71598552129123
1.5153e-06,-78.1659443,197843633603906.8,-84.71337113843875
1.51528e-06,-83.4328764,197846244918430.9,-84.71075668657242
1.51526e-06,-85.0,197848856301888.78,-84.70814216568948
1.51524e-06,-78.6372042,197851467754283.16,-84.70552757578723
1.51522e-06,-85.0,197854079275616.75,-84.70291291686293
1.5152e-06,-78.9438552,197856690865892.3,-84.70029818891382
1.51518e-06,-85.0,197859302525112.53,-84.69768339193723
1.51516e-06,-85.0,197861914253280.16,-84.6950685259304
1.51514e-06,-79.9439217,197864526050398.0,-84.69245359089051
1.51512e-06,-80.319706,197867137916468.66,-84.68983858681496
1.5151e-06,-76.9421771,197869749851494.97,-84.68722351370091
1.51508e-06,-83.263144,197872361855479.6,-84.68460837154569
1.51506e-06,-85.0,197874973928425.28,-84.68199316034658
1.51504e-06,-77.3816592,197877586070334.78,-84.67937788010077
1.51502e-06,-79.9927859,197880198281210.8,-84.67676253080559
1.515e-06,-85.0,197882810561056.12,-84.67414711245826
1.51498e-06,-80.4591365,197885422909873.4,-84.6715316250561
1.51496e-06,-85.0,197888035327665.4,-84.66891606859635
1.51494e-06,-78.9236387,197890647814434.9,-84.66630044307622
1.51492e-06,-81.4655821,197893260370184.56,-84.66368474849307
1.5149e-06,-79.0101333,197895872994917.16,-84.66106898484409
1.51488e-06,-78.2674362,197898485688635.4,-84.65845315212658
1.51486e-06,-84.2266302,197901098451342.03,-84.65583725033781
1.51484e-06,-85.0,197903711283039.8,-84.65322127947499
1.51482e-06,-78.7753756,197906324183731.4,-84.65060523953548
1.5148e-06,-85.0,197908937153419.6,-84.64798913051646
1.51478e-06,-82.1429758,197911550192107.12,-84.64537295241522
1.51476e-06,-81.056847,197914163299796.66,-84.64275670522906
1.51474e-06,-80.2551098,197916776476491.03,-84.64014038895515
1.51472e-06,-78.118868,197919389722192.88,-84.63752400359087
1.5147e-06,-79.3132694,197922003036905.0,-84.6349075491334
1.51468e-06,-84.8709085,197924616420630.1,-84.63229102558005
1.51466e-06,-82.3223796,197927229873370.9,-84.62967443292804
1.51464e-06,-85.0,197929843395130.22,-84.62705777117463
1.51462e-06,-84.1408108,197932456985910.66,-84.62444104031717
1.5146e-06,-79.9968686,197935070645715.03,-84.62182424035284
1.51458e-06,-83.9807363,197937684374546.1,-84.61920737127888
1.51456e-06,-80.4688396,197940298172406.5,-84.61659043309265
1.51454e-06,-85.0,197942912039299.06,-84.61397342579133
1.51452e-06,-80.9097611,197945525975226.47,-84.61135634937222
1.5145e-06,-85.0,197948139980191.47,-84.60873920383257
1.51448e-06,-82.8880708,197950754054196.8,-84.60612198916962
1.51446e-06,-85.0,197953368197245.22,-84.60350470538067
1.51444e-06,-85.0,197955982409339.44,-84.60088735246296
1.51442e-06,-85.0,197958596690482.16,-84.59826993041378
1.5144e-06,-81.4265702,197961211040676.16,-84.59565243923036
1.51438e-06,-84.6565141,197963825459924.2,-84.59303487890995
1.51436e-06,-77.7450608,197966439948228.94,-84.59041724944984
1.51434e-06,-82.8540829,197969054505593.2,-84.58779955084727
1.51432e-06,-80.5550406,197971669132019.66,-84.5851817830995
1.5143e-06,-78.3845512,197974283827511.06,-84.58256394620382
1.51428e-06,-80.4198156,197976898592070.16,-84.57994604015747
1.51426e-06,-83.8899092,197979513425699.7,-84.5773280649577
1.51424e-06,-84.6305519,197982128328402.34,-84.57471002060181
1.51422e-06,-79.4777689,197984743300180.97,-84.57209190708697
1.5142e-06,-78.7175038,197987358341038.16,-84.56947372441057
1.51418e-06,-85.0,197989973450976.78,-84.56685547256974
1.51416e-06,-78.317604,197992588629999.47,-84.56423715156184
1.51414e-06,-77.6507192,197995203878109.0,-84.5616187613841
1.51412e-06,-80.0492273,197997819195308.16,-84.55900030203372
1.5141e-06,-84.6751417,198000434581599.62,-84.55638177350802
1.51408e-06,-76.5616238,198003050036986.16,-84.55376317580425
1.51406e-06,-77.5032393,198005665561470.47,-84.55114450891968
1.51404e-06,-85.0,198008281155055.34,-84.54852577285152
1.51402e-06,-80.7595632,198010896817743.5,-84.54590696759705
1.514e-06,-77.1698985,198013512549537.66,-84.54328809315356
1.51398e-06,-83.5425487,198016128350440.56,-84.5406691495183
1.51396e-06,-85.0,198018744220454.97,-84.5380501366885
1.51394e-06,-78.433752,198021360159583.6,-84.53543105466144
1.51392e-06,-81.6716672,198023976167829.22,-84.53281190343434
1.5139e-06,-78.3473576,198026592245194.53,-84.53019268300451
1.51388e-06,-79.1795574,198029208391682.3,-84.52757339336917
1.51386e-06,-76.9561664,198031824607295.25,-84.52495403452562
1.51384e-06,-79.189345,198034440892036.12,-84.52233460647108
1.51382e-06,-85.0,198037057245907.72,-84.51971510920276
1.5138e-06,-84.6003864,198039673668912.66,-84.51709554271804
1.51378e-06,-85.0,198042290161053.78,-84.51447590701407
1.51376e-06,-85.0,198044906722333.78,-84.51185620208817
1.51374e-06,-79.9717878,198047523352755.4,-84.50923642793755
1.51372e-06,-80.9678,198050140052321.44,-84.50661658455947
1.5137e-06,-77.9334454,198052756821034.56,-84.50399667195121
1.51368e-06,-80.6844692,198055373658897.5,-84.50137669011006
1.51366e-06,-79.8219973,198057990565913.1,-84.49875663903319
1.51364e-06,-79.6109127,198060607542083.97,-84.49613651871793
1.51362e-06,-82.9400871,198063224587412.97,-84.49351632916147
1.5136e-06,-83.0821782,198065841701902.75,-84.49089607036112
1.51358e-06,-85.0,198068458885556.1,-84.48827574231412
1.51356e-06,-85.0,198071076138375.75,-84.4856553450177
1.51354e-06,-85.0,198073693460364.44,-84.48303487846917
1.51352e-06,-84.8606736,198076310851524.94,-84.4804143426657
1.5135e-06,-77.9860568,198078928311859.94,-84.47779373760463
1.51348e-06,-78.8421006,198081545841372.2,-84.4751730632832
1.51346e-06,-79.9696318,198084163440064.5,-84.47255231969858
1.51344e-06,-79.2179374,198086781107939.53,-84.46993150684813
1.51342e-06,-79.4959147,198089398845000.1,-84.46731062472902
1.5134e-06,-79.4030156,198092016651248.84,-84.4646896733386
1.51338e-06,-85.0,198094634526688.6,-84.46206865267405
1.51336e-06,-77.9964418,198097252471322.1,-84.45944756273262
1.51334e-06,-82.3399925,198099870485152.03,-84.45682640351163
1.51332e-06,-82.2588817,198102488568181.22,-84.45420517500823
1.5133e-06,-78.0126213,198105106720412.34,-84.45158387721976
1.51328e-06,-78.4041525,198107724941848.16,-84.44896251014346
1.51326e-06,-78.2922551,198110343232491.44,-84.44634107377654
1.51324e-06,-78.6416109,198112961592344.9,-84.44371956811626
1.51322e-06,-85.0,198115580021411.28,-84.44109799315994
1.5132e-06,-85.0,198118198519693.38,-84.43847634890474
1.51318e-06,-82.2978646,198120817087193.84,-84.43585463534801
1.51316e-06,-83.8705788,198123435723915.53,-84.4332328524869
1.51314e-06,-85.0,198126054429861.1,-84.43061100031872
1.51312e-06,-82.8937958,198128673205033.28,-84.42798907884077
1.5131e-06,-79.1475165,198131292049434.94,-84.42536708805017
1.51308e-06,-77.9754838,198133910963068.7,-84.42274502794429
1.51306e-06,-77.7414614,198136529945937.38,-84.42012289852029
1.51304e-06,-77.8194173,198139148998043.7,-84.41750069977547
1.51302e-06,-80.1179985,198141768119390.34,-84.41487843170714
1.513e-06,-83.3898381,198144387309980.2,-84.41225609431243
1.51298e-06,-85.0,198147006569815.84,-84.4096336875887
1.51296e-06,-78.9979445,198149625898900.2,-84.40701121153309
1.51294e-06,-79.6407592,198152245297235.84,-84.40438866614296
1.51292e-06,-81.5116054,198154864764825.62,-84.4017660514155
1.5129e-06,-78.4277445,198157484301672.28,-84.39914336734797
1.51288e-06,-78.9940122,198160103907778.53,-84.39652061393762
1.51286e-06,-85.0,198162723583147.16,-84.3938977911817
1.51284e-06,-83.8861439,198165343327780.88,-84.39127489907746
1.51282e-06,-82.2938637,198167963141682.4,-84.38865193762217
1.5128e-06,-85.0,198170583024854.6,-84.38602890681302
1.51278e-06,-78.1554631,198173202977300.06,-84.38340580664735
1.51276e-06,-79.2346449,198175822999021.66,-84.38078263712232
1.51274e-06,-79.9897954,198178443090022.1,-84.37815939823523
1.51272e-06,-78.8406665,198181063250304.1,-84.37553608998333
1.5127e-06,-85.0,198183683479870.44,-84.37291271236384
1.51268e-06,-85.0,198186303778723.84,-84.37028926537404
1.51266e-06,-79.1808428,198188924146867.1,-84.36766574901115
1.51264e-06,-79.9720783,198191544584302.94,-84.36504216327242
1.51262e-06,-80.5606498,198194165091034.1,-84.36241850815513
1.5126e-06,-80.7527366,198196785667063.34,-84.35979478365648
1.51258e-06,-83.1298923,198199406312393.4,-84.35717098977376
1.51256e-06,-81.8634358,198202027027027.0,-84.35454712650424
1.51254e-06,-77.1741858,198204647810967.0,-84.35192319384505
1.51252e-06,-83.007671,198207268664216.0,-84.34929919179359
1.5125e-06,-77.862972,198209889586776.88,-84.34667512034697
1.51248e-06,-82.4630861,198212510578652.28,-84.34405097950255
1.51246e-06,-80.7463551,198215131639845.0,-84.34142676925755
1.51244e-06,-81.9352492,198217752770357.84,-84.33880248960912
1.51242e-06,-83.160978,198220373970193.47,-84.33617814055464
1.5124e-06,-80.9126368,198222995239354.7,-84.33355372209125
1.51238e-06,-81.8056968,198225616577844.2,-84.33092923421631
1.51236e-06,-76.7156664,198228237985664.78,-84.32830467692696
1.51234e-06,-83.3838375,198230859462819.22,-84.32568005022048
1.51232e-06,-79.7001719,198233481009310.2,-84.32305535409417
1.5123e-06,-80.0008716,198236102625140.53,-84.32043058854516
1.51228e-06,-85.0,198238724310312.9,-84.31780575357081
1.51226e-06,-79.8281184,198241346064830.12,-84.31518084916831
1.51224e-06,-78.0176844,198243967888694.94,-84.31255587533491
1.51222e-06,-81.1088105,198246589781910.03,-84.30993083206789
1.5122e-06,-78.634817,198249211744478.25,-84.30730571936442
1.51218e-06,-81.7373771,198251833776402.28,-84.30468053722183
1.51216e-06,-81.5680849,198254455877684.9,-84.3020552856373
1.51214e-06,-78.1916606,198257078048328.88,-84.2994299646081
1.51212e-06,-80.0659167,198259700288336.9,-84.29680457413149
1.5121e-06,-83.4148757,198262322597711.78,-84.2941791142047
1.51208e-06,-80.1494623,198264944976456.28,-84.29155358482494
1.51206e-06,-85.0,198267567424573.1,-84.28892798598953
1.51204e-06,-85.0,198270189942065.03,-84.28630231769564
1.51202e-06,-81.7405389,198272812528934.8,-84.28367657994055
1.512e-06,-78.6893174,198275435185185.2,-84.28105077272151
1.51198e-06,-76.8735465,198278057910818.94,-84.27842489603574
1.51196e-06,-85.0,198280680705838.78,-84.27579894988051
1.51194e-06,-77.8725888,198283303570247.5,-84.27317293425304
1.51192e-06,-79.2891455,198285926504047.84,-84.27054684915058
1.5119e-06,-79.4571678,198288549507242.53,-84.26792069457039
1.51188e-06,-77.8725888,198291172579834.38,-84.26529447050967
1.51186e-06,-83.8372888,198293795721826.1,-84.2626681769657
1.51184e-06,-85.0,198296418933220.47,-84.26004181393569
1.51182e-06,-81.746053,198299042214020.2,-84.25741538141695
1.5118e-06,-85.0,198301665564228.06,-84.25478887940666
1.51178e-06,-85.0,198304288983846.88,-84.25216230790204
1.51176e-06,-81.2434525,198306912472879.28,-84.24953566690044
1.51174e-06,-85.0,198309536031328.16,-84.24690895639895
1.51172e-06,-79.741876,198312159659196.16,-84.24428217639496
1.5117e-06,-80.2838309,198314783356486.06,-84.24165532688563
1.51168e-06,-81.7056015,198317407123200.7,-84.23902840786819
1.51166e-06,-85.0,198320030959342.72,-84.23640141933993
1.51164e-06,-80.7246801,198322654864914.94,-84.23377436129806
1.51162e-06,-78.9490569,198325278839920.1,-84.23114723373983
1.5116e-06,-80.4239627,198327902884360.94,-84.2285200366625
1.51158e-06,-79.0015322,198330526998240.25,-84.22589277006327
1.51156e-06,-79.7343457,198333151181560.78,-84.22326543393939
1.51154e-06,-85.0,198335775434325.25,-84.22063802828814
1.51152e-06,-82.4727475,198338399756536.47,-84.2180105531067
1.5115e-06,-82.8400832,198341024148197.16,-84.21538300839235
1.51148e-06,-82.6818698,198343648609310.1,-84.21275539414232
1.51146e-06,-80.9041926,198346273139878.0,-84.21012771035386
