Acav,S,mu
(-0.0017163898070444543+0.0005414376010878097j),-85.0,-204.0
(-0.001984320688705195-0.0005228872399229157j),-85.0,-203.0
(-0.002274933115249457-0.0007513439346255485j),-85.0,-202.0
(-0.002387683591026888-0.0001665328776581519j),-85.0,-201.0
(-0.0025984077111891072+0.0005408942183690373j),-85.0,-200.0
(-0.0028030927191426665+0.0009473508948361085j),-85.0,-199.0
(-0.0024395150022535643+0.0008833437868324415j),-85.0,-198.0
(-0.0015805774126193147+0.00023376516049746448j),-85.0,-197.0
(-0.0012817236811937995-0.0005263504593264401j),-85.0,-196.0
(-0.0020598281121699128-0.0005460660703833156j),-85.0,-195.0
(-0.0030233826660298353+0.00017511710745847205j),-85.0,-194.0
(-0.0031666616267139185+0.0007271949577115303j),-85.0,-193.0
(-0.0025534648328858337+0.0006171608163625717j),-85.0,-192.0
(-0.0018174610668492137+0.0003405022503194714j),-85.0,-191.0
(-0.0014034229332592436+0.00030751201924143073j),-85.0,-190.0
(-0.001550831130882555+0.0001314780725225773j),-85.0,-189.0
(-0.0023699983291143698-0.00031849253656859855j),-85.0,-188.0
(-0.0032492285188608877-0.00038613741878884415j),-85.0,-187.0
(-0.003162079172262817+0.00025783037934149443j),-85.0,-186.0
(-0.00212277056438744+0.0009304498855832959j),-85.0,-185.0
(-0.0013472447921616287+0.0008896947090892417j),-85.0,-184.0
(-0.001589283535368922+0.00030262169707895043j),-85.0,-183.0
(-0.0022785240709700233-0.000260079071122196j),-85.0,-182.0
(-0.002616005028042068-0.000556906695862992j),-85.0,-181.0
(-0.002647061113103266-0.0003688824027240895j),-85.0,-180.0
(-0.002629410242785875+0.0004391582919587628j),-85.0,-179.0
(-0.0023792975330887+0.0012548827584166352j),-85.0,-178.0
(-0.0018733822776557036+0.0011032086302552187j),-85.0,-177.0
(-0.0016205137149421798-3.552261415234886e-05j),-85.0,-176.0
(-0.0019375203088136902-0.0009104945595652355j),-85.0,-175.0
(-0.002463078867402636-0.0005857815142247228j),-85.0,-174.0
(-0.0027171491571373195+0.00037004736681821743j),-85.0,-173.0
(-0.002743965296634559+0.0009187962768929314j),-85.0,-172.0
(-0.0025672465761667706+0.0008584729994866129j),-85.0,-171.0
(-0.0019571573817633897+0.0004690856786606412j),-85.0,-170.0
(-0.0013113077719754164-8.739542505499835e-05j),-85.0,-169.0
(-0.0015279991026352013-0.000508664419679808j),-85.0,-168.0
(-0.0026051397549668224-0.00033659198997043046j),-85.0,-167.0
(-0.003396183034991436+0.0003470216429078719j),-85.0,-166.0
(-0.0030020537286386713+0.0007990599162075927j),-85.0,-165.0
(-0.001958751863616552+0.0006410816745558217j),-85.0,-164.0
(-0.0013628402659484362+0.0003132905436778883j),-85.0,-163.0
(-0.0015000958593763096+0.00015329766655238487j),-85.0,-162.0
(-0.0020914294920398747-0.00010722739020701338j),-85.0,-161.0
(-0.002836374144755065-0.0004445353746876529j),-85.0,-160.0
(-0.003212451715131769-0.0002138129448323338j),-85.0,-159.0
(-0.002728890936882469+0.0006657801212598409j),-85.0,-158.0
(-0.001723818695023094+0.0012157847906324095j),-85.0,-157.0
(-0.001287650443489777+0.0007347572181820301j),-85.0,-156.0
(-0.0018400982109197438-0.0002151785839768508j),-85.0,-155.0
(-0.002555843586137777-0.0006845095797521087j),-85.0,-154.0
(-0.0027199701184143325-0.00044101830717691964j),-85.0,-153.0
(-0.002590329309327166+0.00020205457919981868j),-85.0,-152.0
(-0.0025099791212774046+0.0009286285567533755j),-85.0,-151.0
(-0.002256344357070189+0.0012312538550288848j),-35.26787492372259,-150.0
(-0.0017139440510677967+0.0005920037272261334j),-85.0,-149.0
(-0.0015096974863672988-0.0005580808405411551j),-85.0,-148.0
(-0.0020720583181239927-0.0009674147632117804j),-85.0,-147.0
(-0.0028140421458440115-0.0001589043621216043j),-85.0,-146.0
(-0.003001499591986354+0.0008691403116961844j),-85.0,-145.0
(-0.00263851545977493+0.0010596206082568677j),-85.0,-144.0
(-0.002071480360416143+0.0005678169552653259j),-85.0,-143.0
(-0.0015409870282612804+9.002389468143429e-05j),-85.0,-142.0
